Project Name,Package Name,Architecture Smell,Cause of the Smell
symphony,org.b3log.symphony.processor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.util; org.b3log.symphony.service.
symphony,org.b3log.symphony.processor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.service; org.b3log.symphony.model.
symphony,org.b3log.symphony.processor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.util; org.b3log.symphony.service; org.b3log.symphony.model.
symphony,org.b3log.symphony.processor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.processor.middleware.validate; org.b3log.symphony.util; org.b3log.symphony.model; org.b3log.symphony.service.
symphony,org.b3log.symphony.processor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.util; org.b3log.symphony.processor.middleware.validate; org.b3log.symphony.service.
symphony,org.b3log.symphony.processor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.model.feed; org.b3log.symphony.service.
symphony,org.b3log.symphony.processor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony.processor; org.b3log.symphony.processor.middleware.validate; org.b3log.symphony.processor
symphony,org.b3log.symphony.processor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony.processor; org.b3log.symphony.processor.middleware; org.b3log.symphony.service; org.b3log.symphony.processor
symphony,org.b3log.symphony.processor.channel,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArticleChannel; ArticleListChannel]; [ChatroomChannel]; [GobangChannel]; [GobangChannel.ChessGame]; [UserChannel]. LCC (Lack of Component Cohesion) = 0.83
symphony,org.b3log.symphony.processor.channel,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony.processor.channel; org.b3log.symphony.service; org.b3log.symphony.processor.channel
symphony,org.b3log.symphony.processor.middleware,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.service
symphony,org.b3log.symphony.processor.middleware.validate,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.processor
symphony,org.b3log.symphony.processor.middleware.validate,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Activity1A0001CollectValidationMidware]; [Activity1A0001ValidationMidware]; [ArticlePostValidationMidware]; [ChatMsgAddValidationMidware]; [CommentAddValidationMidware]; [CommentUpdateValidationMidware]; [PointTransferValidationMidware]; [UpdatePasswordValidationMidware; UserRegister2ValidationMidware]; [UpdateProfilesValidationMidware]; [UserForgetPwdValidationMidware]; [UserRegisterValidationMidware]. LCC (Lack of Component Cohesion) = 0.92
symphony,org.b3log.symphony.processor.middleware.validate,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.util; org.b3log.symphony.service.
symphony,org.b3log.symphony.repository,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
symphony,org.b3log.symphony.repository,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.cache
symphony,org.b3log.symphony.repository,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArticleRepository; CommentRepository; NotificationRepository; OptionRepository; RevisionRepository; UserRepository]; [BreezemoonRepository]; [CharacterRepository]; [DomainRepository]; [DomainTagRepository]; [EmotionRepository]; [FollowRepository]; [InvitecodeRepository]; [LinkRepository]; [LivenessRepository]; [OperationRepository]; [PermissionRepository]; [PointtransferRepository]; [ReferralRepository]; [ReportRepository]; [RewardRepository]; [RolePermissionRepository]; [RoleRepository]; [TagArticleRepository; TagRepository]; [TagTagRepository]; [UserRoleRepository]; [UserTagRepository]; [VerifycodeRepository]; [VisitRepository]; [VoteRepository]. LCC (Lack of Component Cohesion) = 0.81
symphony,org.b3log.symphony,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.event; org.b3log.symphony.processor
symphony,org.b3log.symphony,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony; org.b3log.symphony.service; org.b3log.symphony
symphony,org.b3log.symphony,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony; org.b3log.symphony.processor; org.b3log.symphony
symphony,org.b3log.symphony,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony; org.b3log.symphony.util; org.b3log.symphony
symphony,org.b3log.symphony.service,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 60
symphony,org.b3log.symphony.service,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.event; org.b3log.symphony.processor.middleware.validate; org.b3log.symphony.processor.channel; org.b3log.symphony.processor; org.b3log.symphony
symphony,org.b3log.symphony.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActivityMgmtService; ActivityQueryService; AvatarQueryService; BreezemoonQueryService; CommentQueryService; DataModelService; FollowQueryService; InitMgmtService; LivenessMgmtService; LivenessQueryService; MailMgmtService; NotificationQueryService; OptionQueryService; PointtransferMgmtService; PointtransferQueryService; PostExportService; ReportMgmtService; ReportQueryService; RevisionQueryService; RoleQueryService; ShortLinkQueryService; TagMgmtService; TagQueryService; UserMgmtService; UserQueryService; VoteMgmtService; ArticleMgmtService; AudioMgmtService; CronMgmtService; InvitecodeMgmtService; NotificationMgmtService; RewardMgmtService; RewardQueryService; SearchMgmtService; SearchQueryService; VerifycodeMgmtService; VisitMgmtService; ArticleQueryService; BreezemoonMgmtService; CacheMgmtService; CommentMgmtService; DomainQueryService; FollowMgmtService]; [CharacterQueryService]; [CommentQueryService.commentInfo]; [DomainMgmtService]; [EmotionMgmtService]; [EmotionQueryService]; [InvitecodeQueryService]; [LinkMgmtService]; [LinkMgmtService.CheckTask]; [LinkQueryService]; [OperationMgmtService]; [OperationQueryService]; [OptionMgmtService]; [ReferralMgmtService]; [RoleMgmtService]; [SitemapQueryService]; [VerifycodeQueryService]; [VoteQueryService]. LCC (Lack of Component Cohesion) = 0.3
symphony,org.b3log.symphony.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.repository; org.b3log.symphony.model.
symphony,org.b3log.symphony.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.util; org.b3log.symphony.repository.
symphony,org.b3log.symphony.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.repository; org.b3log.symphony.model; org.b3log.symphony.util.
symphony,org.b3log.symphony.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.cache; org.b3log.symphony.repository.
symphony,org.b3log.symphony.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.service; org.b3log.symphony.repository; org.b3log.symphony
symphony,org.b3log.symphony.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Emotions; Markdowns; MediaPlayers; Pangu; Symphonys; PanguTestCase; Geos; Images; JSONs; Sessions; Links; Links.Spider; Mails; Templates; Mails.MailSender]; [Escapes; Headers]; [Gravatars]; [Languages]; [Mails.MailSenderHolder]; [Networks]; [Results; StatusCodes]; [Runes]; [Tesseracts]; [ElasticsearchTestCase]; [RedditScoreTest]; [RedditScoreTest.vote]; [XSSTestCase]. LCC (Lack of Component Cohesion) = 0.45
